bot_name
$amSpadeBot
(1.VSNCT)Bot
10.4.1.125
123Hedgebot456
126Bot
1VeertjeBot
28bot
3RRBot
718 Bot
7SeriesBOT
A bot called Bob
A4bot
AAlertBot
AarghBot
ABot
Abotheosis
ABOTtheosis
Abotzi
AccReqBot
AccReqBot2
Acebot
AdambroBot
Addihockey10 (automated)
AddihockeyBot
Adlerbot
Adlerbot
AdminStatsBot
Admrbot
Adrián Neves Bot
AEBot
AFCbot
AFCHBuddy
AFD Bot
AfDBot
AfdlBot
AfDStatBot
Afkbot
AftabBot
AGbot
AHbot
Aibot
AIDbot
AilurophobiaBot
AiuwBot
AkhtaBot
Aksibot
Alaibot
AlaibotToo
AlanBOT
Albambot
Albotim
Alch Bot
AldnonymousBOT
Ale jrb bot
Ale jrb bot/welcomebot archive
AlekseyBot
Alertbot
AlexandriaBot
Alexbot
Alirezabot
AllaSmackBot
AlleborgoBot
AllieBot
Almabot
AlnoktaBOT
AloysiusLiliusBot
Alph Bot
Alphachimpbot
AlptaBot
AlptaSandboxBot
AlyBot
AMABot
Amalthea (archivebot)
Amalthea (bot 2)
Amalthea (bot)
AMbot
AmeliorationBot
AmerigoBOT
AmigaBot
Amirobot
Amolbot
AmphBot
Analphabot
Anchor Link Bot
AnchorBot
AndersBot
Andrewbot
Android Mouse Bot
Android Mouse Bot 2
Android Mouse Bot 3
Android Mouse Bot 4
AndymwBot
AngelBot
Angria77Bot
Anibot
AniBot
AnkitAWB
AnkitBot
AnomieBOT
AnomieBOT II
AnomieBOT III
AnomieBOT/UserpageMain
Anonymoususerdaily
AntiAbuseBot
AntidereBot
Antigng-bot
Antime Bot I~enwiki
Antischmitzbot
AntiSpamBot
AntiVandalBot
Anybot
AP.BOT
APersonBot
Aplikasi-Bot
Apocatequil~enwiki
Apostrobot
ArbComBot
Arbitrarily0Bot
Archive 'o' matic
ArkyBot
ArmadilloProcessBot
Armanbot
ArmbrustBot
ArmbrustBot
ARSBot
ArshavaBot
ArthurBot
ArticleAlertbot
ArticleAlertingBot
ArticleGrinder
ArticleListBot
ArticlesForCreationBot
ARVBot
ASammourBot
AsenineBot
AsgardBot
AstaBOTh15
AstraleBot
AstRoBot
AswnBot
Atobot
AttributionBot
AudeBot
AusTerrapinBotEdits
Autobot
AutocracyBot
Autotitlechange
AVBOT
AVdiscuBOT
AvicBot
AvicBot2
AvocatoBot
AWeenieBot
AwOcBot
AzaBot
AZatBot~enwiki
AZPR
B-bot
B.Zsoltbot
Babylon5~enwiki
BackfireBot
BackfireBotII
BAGBot
BaldBot
BannerBot
BannerBot
BarkBot
BaseBot
BasketBallStatsBot
BatreeqbotPro
BattyBot
BazookaBot
BD2412bot
Bean49Bot
Beastie Bot
Beastie Bot/Stage One
BendelacBOT
BenoniBot~enwiki
BenzolBot
BepBot
BernsteinBot
Bersibot
BetBot~enwiki
BezkingBot
BezkingBot-Link
BG19bot
BHGbot
Bibcode Bot
Bikabot
BioPhotoBot
BirthdayBot
BJBot
BlackDart
BlackDemon2
BlackpoolFCBot
BlakesBot
BlevintronBot
Blood Oath Bot
Bloodsource/bot
BLPWatchBot
Bluebot
BlueRobot~enwiki
Bobergerbot
BoBot
Bocianski.bot
BodhisattvaBot
BogBot
BokimBot
BolatbekBot
Bolling26
Bonabot
Bookbot
BorgardeBot
BoricuaBot
Bot FH
Bot for Justice
