,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
45508,187216,vi,12,0.5,Bùi Hữu Nghĩa,https://vi.wikipedia.org/wiki/Bùi Hữu Nghĩa,,,,,,,,
341838,793970,vi,12,0.5,Tốt (cờ vua),https://vi.wikipedia.org/wiki/Tốt (cờ vua),,,,,,,,
8409,27740,vi,12,0.5,Fyodor Mikhailovich Dostoevsky,https://vi.wikipedia.org/wiki/Fyodor Mikhailovich Dostoevsky,,,,,,,,
25063,80485,vi,12,0.5,Bà Rịa - Vũng Tàu,https://vi.wikipedia.org/wiki/Bà Rịa - Vũng Tàu,,,,,,,,
40732,141668,vi,12,0.5,Trường Trung học phổ thông chuyên Quốc Học - Huế,https://vi.wikipedia.org/wiki/Trường Trung học phổ thông chuyên Quốc Học - Huế,,,,,,,,
29488,95391,vi,12,0.5,Britney Spears,https://vi.wikipedia.org/wiki/Britney Spears,,,,,,,,
27043,87019,vi,12,0.5,Hoằng Lộc,https://vi.wikipedia.org/wiki/Hoằng Lộc,,,,,,,,
18117,57606,vi,12,0.5,Sông Danube,https://vi.wikipedia.org/wiki/Sông Danube,,,,,,,,
73731,274483,vi,12,0.5,Trường Đại học Hoa Sen,https://vi.wikipedia.org/wiki/Trường Đại học Hoa Sen,,,,,,,,
46290,189628,vi,12,0.5,Thành hoàng,https://vi.wikipedia.org/wiki/Thành hoàng,,,,,,,,
1450,4672,vi,12,0.5,Trường Đại học Kiến trúc Hà Nội,https://vi.wikipedia.org/wiki/Trường Đại học Kiến trúc Hà Nội,,,,,,,,
10080,32417,vi,12,0.5,Câu lạc bộ bóng đá Hoàng Anh Gia Lai,https://vi.wikipedia.org/wiki/Câu lạc bộ bóng đá Hoàng Anh Gia Lai,,,,,,,,
18618,59288,vi,12,0.5,Nhiệt biểu thường,https://vi.wikipedia.org/wiki/Nhiệt biểu thường,,,,,,,,
6596,21789,vi,12,0.5,Nhà Hồ,https://vi.wikipedia.org/wiki/Nhà Hồ,,,,,,,,
33652,108342,vi,12,0.5,Nàng Bạch Tuyết và bảy chú lùn (phim 1937),https://vi.wikipedia.org/wiki/Nàng Bạch Tuyết và bảy chú lùn (phim 1937),,,,,,,,
20839,66750,vi,12,0.5,"Quân đoàn 4, Quân đội Nhân dân Việt Nam","https://vi.wikipedia.org/wiki/Quân đoàn 4, Quân đội Nhân dân Việt Nam",,,,,,,,
18653,59414,vi,12,0.5,Đạo đức kinh,https://vi.wikipedia.org/wiki/Đạo đức kinh,,,,,,,,
96986,325184,vi,12,0.5,An Phú (huyện),https://vi.wikipedia.org/wiki/An Phú (huyện),,,,,,,,
110984,366769,vi,12,0.5,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh","https://vi.wikipedia.org/wiki/Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",,,,,,,,
8984,29485,vi,12,0.5,Giấy can,https://vi.wikipedia.org/wiki/Giấy can,,,,,,,,
1574345,3203318,vi,12,0.5,Vẻ đẹp Mỹ (phim 1999),https://vi.wikipedia.org/wiki/Vẻ đẹp Mỹ (phim 1999),,,,,,,,
54631,210470,vi,12,0.5,Giáo sư (Việt Nam),https://vi.wikipedia.org/wiki/Giáo sư (Việt Nam),,,,,,,,
776616,1377898,vi,12,0.5,Chim di,https://vi.wikipedia.org/wiki/Chim di,,,,,,,,
361,2052,vi,12,0.5,Bắc Kạn,https://vi.wikipedia.org/wiki/Bắc Kạn,,,,,,,,
55663,218999,vi,12,0.5,Bảo tàng quốc gia Trung Cổ,https://vi.wikipedia.org/wiki/Bảo tàng quốc gia Trung Cổ,,,,,,,,
9548,31114,vi,12,0.5,Lạc Sơn,https://vi.wikipedia.org/wiki/Lạc Sơn,,,,,,,,
126314,412576,vi,12,0.5,Mikoyan MiG-29SMT,https://vi.wikipedia.org/wiki/Mikoyan MiG-29SMT,,,,,,,,
1581563,3241224,vi,12,0.5,Danh sách đĩa nhạc của Lorde,https://vi.wikipedia.org/wiki/Danh sách đĩa nhạc của Lorde,,,,,,,,
8178,27064,vi,12,0.5,"Phú Thủy, Lệ Thủy","https://vi.wikipedia.org/wiki/Phú Thủy, Lệ Thủy",,,,,,,,
45216,186269,vi,12,0.5,Wat Tham Krabok,https://vi.wikipedia.org/wiki/Wat Tham Krabok,,,,,,,,
5280,16156,vi,12,0.5,TCP/IP,https://vi.wikipedia.org/wiki/TCP/IP,,,,,,,,
1581213,3237955,vi,12,0.5,Kỳ thi trung học phổ thông quốc gia (Việt Nam),https://vi.wikipedia.org/wiki/Kỳ thi trung học phổ thông quốc gia (Việt Nam),,,,,,,,
30370,97963,vi,12,0.5,Ninh Bình (thành phố),https://vi.wikipedia.org/wiki/Ninh Bình (thành phố),,,,,,,,
92609,314156,vi,12,0.5,Nguyễn Đức Thuận,https://vi.wikipedia.org/wiki/Nguyễn Đức Thuận,,,,,,,,
33064,106654,vi,12,0.5,Pháp,https://vi.wikipedia.org/wiki/Pháp,,,,,,,,
34817,113370,vi,12,0.5,Trường Đại học Phương Đông (Việt Nam),https://vi.wikipedia.org/wiki/Trường Đại học Phương Đông (Việt Nam),,,,,,,,
711610,1239232,vi,12,0.5,Làn sóng Hàn Quốc,https://vi.wikipedia.org/wiki/Làn sóng Hàn Quốc,,,,,,,,
