,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
1035763,2550786,nl,40,0.9,Zandmotor,https://nl.wikipedia.org/wiki/Zandmotor,,,,,,,,,
1111822,2632091,nl,40,0.9,Valuas (persoon),https://nl.wikipedia.org/wiki/Valuas (persoon),,,,,,,,,
1336803,3041240,nl,40,0.9,Bier in Kosovo,https://nl.wikipedia.org/wiki/Bier in Kosovo,,,,,,,,,
1698801,3885305,nl,40,0.9,Nieuw Europa-brug,https://nl.wikipedia.org/wiki/Nieuw Europa-brug,,,,,,,,,
1738970,3969200,nl,40,0.9,Kaalgeschoren hoofd,https://nl.wikipedia.org/wiki/Kaalgeschoren hoofd,,,,,,,,,
1747022,3995666,nl,40,0.9,Willem Bierman,https://nl.wikipedia.org/wiki/Willem Bierman,,,,,,,,,
1760471,4041203,nl,40,0.9,Bön/Archief,https://nl.wikipedia.org/wiki/Bön/Archief,,,,,,,,,
1809244,4371788,nl,40,0.9,Zeevonk,https://nl.wikipedia.org/wiki/Zeevonk,,,,,,,,,
1809341,4372083,nl,40,0.9,Marty Morrissey,https://nl.wikipedia.org/wiki/Marty Morrissey,,,,,,,,,
1822198,4932,nl,40,0.9,Spaceshuttleprogramma,https://nl.wikipedia.org/wiki/Spaceshuttleprogramma,,,,,,,,,
1824033,7608,nl,40,0.9,Stonehenge,https://nl.wikipedia.org/wiki/Stonehenge,,,,,,,,,
1824551,8470,nl,40,0.9,Recht,https://nl.wikipedia.org/wiki/Recht,,,,,,,,,
1824907,9039,nl,40,0.9,Spinnen (dieren),https://nl.wikipedia.org/wiki/Spinnen (dieren),,,,,,,,,
1828238,13763,nl,40,0.9,Kerkgeschiedenis,https://nl.wikipedia.org/wiki/Kerkgeschiedenis,,,,,,,,,
1829865,16417,nl,40,0.9,Vectorruimte,https://nl.wikipedia.org/wiki/Vectorruimte,,,,,,,,,
1830038,16654,nl,40,0.9,Assembler (software),https://nl.wikipedia.org/wiki/Assembler (software),,,,,,,,,
1830311,17071,nl,40,0.9,Immanuel Kant,https://nl.wikipedia.org/wiki/Immanuel Kant,,,,,,,,,
1831012,18107,nl,40,0.9,Belgische monarchie,https://nl.wikipedia.org/wiki/Belgische monarchie,,,,,,,,,
1834092,22411,nl,40,0.9,Vlaamse Beweging,https://nl.wikipedia.org/wiki/Vlaamse Beweging,,,,,,,,,
1835798,25277,nl,40,0.9,Haiku (dichtvorm),https://nl.wikipedia.org/wiki/Haiku (dichtvorm),,,,,,,,,
1837773,28491,nl,40,0.9,Israëlische defensieleger,https://nl.wikipedia.org/wiki/Israëlische defensieleger,,,,,,,,,
1839658,32398,nl,40,0.9,Lijst van sterke en onregelmatige werkwoorden in het Nederlands,https://nl.wikipedia.org/wiki/Lijst van sterke en onregelmatige werkwoorden in het Nederlands,,,,,,,,,
1843668,39075,nl,40,0.9,Geslacht (biologie),https://nl.wikipedia.org/wiki/Geslacht (biologie),,,,,,,,,
1844326,40248,nl,40,0.9,Europese Volkspartij en Europese Democraten,https://nl.wikipedia.org/wiki/Europese Volkspartij en Europese Democraten,,,,,,,,,
1848028,47209,nl,40,0.9,Westelijke Jordaanoever,https://nl.wikipedia.org/wiki/Westelijke Jordaanoever,,,,,,,,,
1852381,55926,nl,40,0.9,Hunnen,https://nl.wikipedia.org/wiki/Hunnen,,,,,,,,,
1856065,64512,nl,40,0.9,Operatie Overlord,https://nl.wikipedia.org/wiki/Operatie Overlord,,,,,,,,,
1861982,75513,nl,40,0.9,Lijst van Nederlandse spreekwoorden A-E,https://nl.wikipedia.org/wiki/Lijst van Nederlandse spreekwoorden A-E,,,,,,,,,
1866128,83393,nl,40,0.9,Minister van staat (Nederland),https://nl.wikipedia.org/wiki/Minister van staat (Nederland),,,,,,,,,
1866915,84943,nl,40,0.9,Paling,https://nl.wikipedia.org/wiki/Paling,,,,,,,,,
1867364,85905,nl,40,0.9,Soeharto,https://nl.wikipedia.org/wiki/Soeharto,,,,,,,,,
1874456,102355,nl,40,0.9,Italiaans (taal),https://nl.wikipedia.org/wiki/Italiaans (taal),,,,,,,,,
1879256,112816,nl,40,0.9,Monaco,https://nl.wikipedia.org/wiki/Monaco,,,,,,,,,
1880792,116069,nl,40,0.9,Transistor,https://nl.wikipedia.org/wiki/Transistor,,,,,,,,,
1893500,144497,nl,40,0.9,Vaderschap,https://nl.wikipedia.org/wiki/Vaderschap,,,,,,,,,
1899130,156551,nl,40,0.9,Richard Buckminster Fuller,https://nl.wikipedia.org/wiki/Richard Buckminster Fuller,,,,,,,,,
1911286,182633,nl,40,0.9,Februaristaking,https://nl.wikipedia.org/wiki/Februaristaking,,,,,,,,,
1918959,200207,nl,40,0.9,Linkin Park,https://nl.wikipedia.org/wiki/Linkin Park,,,,,,,,,
1827661,12951,nl,41,0.9,Geschiedenis van Japan,https://nl.wikipedia.org/wiki/Geschiedenis van Japan,,,,,,,,,
639140,1839794,nl,41,0.9,Lijst van elektriciteitscentrales in Nederland,https://nl.wikipedia.org/wiki/Lijst van elektriciteitscentrales in Nederland,,,,,,,,,
1849240,49621,nl,41,0.9,Catalonië,https://nl.wikipedia.org/wiki/Catalonië,,,,,,,,,
1884240,122786,nl,41,0.9,Anton Szandor LaVey,https://nl.wikipedia.org/wiki/Anton Szandor LaVey,,,,,,,,,
16493,238532,nl,41,0.9,Maria (moeder van Jezus),https://nl.wikipedia.org/wiki/Maria (moeder van Jezus),,,,,,,,,
1822498,5374,nl,41,0.9,Geschiedenis van het jodendom in Nederland,https://nl.wikipedia.org/wiki/Geschiedenis van het jodendom in Nederland,,,,,,,,,
753015,2163408,nl,41,0.9,Schrobbelèr,https://nl.wikipedia.org/wiki/Schrobbelèr,,,,,,,,,
1836625,26662,nl,41,0.9,Werelddeel,https://nl.wikipedia.org/wiki/Werelddeel,,,,,,,,,
663578,1929795,nl,41,0.9,Selectieve serotonine-heropnameremmer,https://nl.wikipedia.org/wiki/Selectieve serotonine-heropnameremmer,,,,,,,,,
1847945,47044,nl,41,0.9,Batavia (Nederlands-Indië),https://nl.wikipedia.org/wiki/Batavia (Nederlands-Indië),,,,,,,,,
1843390,38568,nl,41,0.9,Sensitiviteit en specificiteit,https://nl.wikipedia.org/wiki/Sensitiviteit en specificiteit,,,,,,,,,
36864,281913,nl,41,0.9,Hans de Boer (bestuurder),https://nl.wikipedia.org/wiki/Hans de Boer (bestuurder),,,,,,,,,
168528,559625,nl,41,0.9,Christelijke Gemeente Nederland,https://nl.wikipedia.org/wiki/Christelijke Gemeente Nederland,,,,,,,,,
277612,862173,nl,41,0.9,Evangelisch christendom,https://nl.wikipedia.org/wiki/Evangelisch christendom,,,,,,,,,
245617,772572,nl,41,0.9,Zondvloed,https://nl.wikipedia.org/wiki/Zondvloed,,,,,,,,,
633621,1820046,nl,41,0.9,Lijst van rijksmonumenten in Katwijk aan Zee,https://nl.wikipedia.org/wiki/Lijst van rijksmonumenten in Katwijk aan Zee,,,,,,,,,
1905674,170127,nl,41,0.9,Lijst van dialecten van de wereld - N,https://nl.wikipedia.org/wiki/Lijst van dialecten van de wereld - N,,,,,,,,,
