,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
1562203,1696858,es,10,0.51,Tultitlán de Mariano Escobedo,https://es.wikipedia.org/wiki/Tultitlán de Mariano Escobedo,,,,,,,,,
1832455,2476145,es,10,0.51,Campeonato de fútbol de Rosario,https://es.wikipedia.org/wiki/Campeonato de fútbol de Rosario,,,,,,,,,
35361,286469,es,10,0.51,Truco,https://es.wikipedia.org/wiki/Truco,,,,,,,,,
454924,3353226,es,10,0.51,Abdennur Prado,https://es.wikipedia.org/wiki/Abdennur Prado,,,,,,,,,
374397,2876084,es,10,0.51,Sierra del Rosario,https://es.wikipedia.org/wiki/Sierra del Rosario,,,,,,,,,
154755,673891,es,10,0.51,Señales (película),https://es.wikipedia.org/wiki/Señales (película),,,,,,,,,
275808,150322,es,10,0.51,Maastricht... Jesús,https://es.wikipedia.org/wiki/Maastricht... Jesús,,,,,,,,,
1022173,5637090,es,10,0.51,Cónclave de 2013,https://es.wikipedia.org/wiki/Cónclave de 2013,,,,,,,,,
1435023,1216836,es,10,0.51,Ice Climber,https://es.wikipedia.org/wiki/Ice Climber,,,,,,,,,
1537939,1591533,es,10,0.51,Noxa (salud),https://es.wikipedia.org/wiki/Noxa (salud),,,,,,,,,
1337582,871548,es,10,0.51,Club de Fútbol Palencia,https://es.wikipedia.org/wiki/Club de Fútbol Palencia,,,,,,,,,
249260,75485,es,10,0.51,Nikolái Yezhov,https://es.wikipedia.org/wiki/Nikolái Yezhov,,,,,,,,,
1448748,1271040,es,10,0.51,Altura (Castellón),https://es.wikipedia.org/wiki/Altura (Castellón),,,,,,,,,
1564969,1707593,es,10,0.51,La isla misteriosa,https://es.wikipedia.org/wiki/La isla misteriosa,,,,,,,,,
192206,784204,es,10,0.51,Cognado,https://es.wikipedia.org/wiki/Cognado,,,,,,,,,
1400683,1087063,es,10,0.51,Moraleja de las Panaderas,https://es.wikipedia.org/wiki/Moraleja de las Panaderas,,,,,,,,,
479317,3513565,es,10,0.51,Vanadio,https://es.wikipedia.org/wiki/Vanadio,,,,,,,,,
1657036,2016057,es,10,0.51,Sebastian Bach,https://es.wikipedia.org/wiki/Sebastian Bach,,,,,,,,,
1725717,2229036,es,10,0.51,Ética nicomáquea,https://es.wikipedia.org/wiki/Ética nicomáquea,,,,,,,,,
92563,454712,es,10,0.51,Aeropuerto El Embrujo,https://es.wikipedia.org/wiki/Aeropuerto El Embrujo,,,,,,,,,
699864,4455126,es,10,0.51,Masacre de Rincón Bomba,https://es.wikipedia.org/wiki/Masacre de Rincón Bomba,,,,,,,,,
137943,614002,es,10,0.51,Metro Ligero 2,https://es.wikipedia.org/wiki/Metro Ligero 2,,,,,,,,,
441752,3274462,es,10,0.51,Real Fuerza Aérea Jordana,https://es.wikipedia.org/wiki/Real Fuerza Aérea Jordana,,,,,,,,,
551484,3936460,es,10,0.51,Cueva de Chauvet,https://es.wikipedia.org/wiki/Cueva de Chauvet,,,,,,,,,
1798449,2381597,es,10,0.51,Geografía rural,https://es.wikipedia.org/wiki/Geografía rural,,,,,,,,,
1646010,1967335,es,10,0.51,Slow Train Coming,https://es.wikipedia.org/wiki/Slow Train Coming,,,,,,,,,
12919,227048,es,10,0.51,Edu Soto,https://es.wikipedia.org/wiki/Edu Soto,,,,,,,,,
1375568,1006901,es,10,0.51,Líneas ley,https://es.wikipedia.org/wiki/Líneas ley,,,,,,,,,
1951,195442,es,10,0.51,Syrah (uva),https://es.wikipedia.org/wiki/Syrah (uva),,,,,,,,,
833221,4835791,es,10,0.51,Torneo Argentino A 2011/12,https://es.wikipedia.org/wiki/Torneo Argentino A 2011/12,,,,,,,,,
51351,330896,es,10,0.51,Río Mijares,https://es.wikipedia.org/wiki/Río Mijares,,,,,,,,,
1418985,1152620,es,10,0.51,Derecho anarquista,https://es.wikipedia.org/wiki/Derecho anarquista,,,,,,,,,
1656899,2015472,es,10,0.51,Elecciones presidenciales en Estados Unidos,https://es.wikipedia.org/wiki/Elecciones presidenciales en Estados Unidos,,,,,,,,,
633062,4257905,es,10,0.51,Sepsis,https://es.wikipedia.org/wiki/Sepsis,,,,,,,,,
1382435,1028561,es,10,0.51,Centro Canario Nacionalista,https://es.wikipedia.org/wiki/Centro Canario Nacionalista,,,,,,,,,
148406,653669,es,10,0.51,Motel (banda),https://es.wikipedia.org/wiki/Motel (banda),,,,,,,,,
167679,709041,es,10,0.51,Agustina Cherri,https://es.wikipedia.org/wiki/Agustina Cherri,,,,,,,,,
64895,368418,es,10,0.51,Virtudes cardinales,https://es.wikipedia.org/wiki/Virtudes cardinales,,,,,,,,,
1424588,1174643,es,10,0.51,Lance McNaught,https://es.wikipedia.org/wiki/Lance McNaught,,,,,,,,,
1605807,1844168,es,10,0.51,Mahō Shōjo Lyrical Nanoha,https://es.wikipedia.org/wiki/Mahō Shōjo Lyrical Nanoha,,,,,,,,,
1196408,6292942,es,10,0.51,Esculturas de la Plaza de Cataluña,https://es.wikipedia.org/wiki/Esculturas de la Plaza de Cataluña,,,,,,,,,
35205,286099,es,10,0.51,Dialecto genovés,https://es.wikipedia.org/wiki/Dialecto genovés,,,,,,,,,
1543746,1617876,es,10,0.51,Hándicap,https://es.wikipedia.org/wiki/Hándicap,,,,,,,,,
1698380,2185431,es,10,0.51,Fusil automático Browning,https://es.wikipedia.org/wiki/Fusil automático Browning,,,,,,,,,
386352,2959838,es,10,0.51,Germade,https://es.wikipedia.org/wiki/Germade,,,,,,,,,
1811448,2419429,es,10,0.51,Policía científica,https://es.wikipedia.org/wiki/Policía científica,,,,,,,,,
283388,170616,es,10,0.51,Flauta de tres agujeros,https://es.wikipedia.org/wiki/Flauta de tres agujeros,,,,,,,,,
1799236,2384079,es,10,0.51,Labuat,https://es.wikipedia.org/wiki/Labuat,,,,,,,,,
1466761,1341747,es,10,0.51,Tubo de Pitot,https://es.wikipedia.org/wiki/Tubo de Pitot,,,,,,,,,
1410653,1121105,es,10,0.51,Leopold Mozart,https://es.wikipedia.org/wiki/Leopold Mozart,,,,,,,,,
1489970,1414342,es,10,0.51,Matrimonio (Derecho romano),https://es.wikipedia.org/wiki/Matrimonio (Derecho romano),,,,,,,,,
125251,573009,es,10,0.51,Vehículo,https://es.wikipedia.org/wiki/Vehículo,,,,,,,,,
1511691,1491985,es,10,0.51,Anuncios clasificados,https://es.wikipedia.org/wiki/Anuncios clasificados,,,,,,,,,
94447,460730,es,10,0.51,SUH,https://es.wikipedia.org/wiki/SUH,,,,,,,,,
