,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned?,notes
462011,229015,it,78,0.9,Batteria (strumento musicale),https://it.wikipedia.org/wiki/Batteria (strumento musicale),,,,,,,,,,
465991,238593,it,78,0.9,Quentin Tarantino,https://it.wikipedia.org/wiki/Quentin Tarantino,,,,,,,,,,
487240,300976,it,78,0.9,Italia Centrale,https://it.wikipedia.org/wiki/Italia Centrale,,,,,,,,,,
551297,2653005,it,78,0.9,Negro,https://it.wikipedia.org/wiki/Negro,,,,,,,,,,
683326,3132030,it,78,0.9,Salma Hayek,https://it.wikipedia.org/wiki/Salma Hayek,,,,,,,,,,
1030881,4503311,it,78,0.9,Presidenti del Consiglio dei ministri del Regno d'Italia,https://it.wikipedia.org/wiki/Presidenti del Consiglio dei ministri del Regno d'Italia,,,,,,,,,,
1065502,4641063,it,78,0.9,Omofobia,https://it.wikipedia.org/wiki/Omofobia,,,,,,,,,,
1269926,346989,it,78,0.9,UEFA Champions League,https://it.wikipedia.org/wiki/UEFA Champions League,,,,,,,,,,
1272929,358963,it,78,0.9,Creazionismo,https://it.wikipedia.org/wiki/Creazionismo,,,,,,,,,,
1284362,416552,it,78,0.9,Karma,https://it.wikipedia.org/wiki/Karma,,,,,,,,,,
1286528,429412,it,78,0.9,Fabio Cannavaro,https://it.wikipedia.org/wiki/Fabio Cannavaro,,,,,,,,,,
1318051,534568,it,78,0.9,Guerra civile spagnola,https://it.wikipedia.org/wiki/Guerra civile spagnola,,,,,,,,,,
1467665,1086283,it,78,0.9,Mario Pincherle,https://it.wikipedia.org/wiki/Mario Pincherle,,,,,,,,,,
53121,1454288,it,79,0.9,Aeroporto di Pescara,https://it.wikipedia.org/wiki/Aeroporto di Pescara,,,,,,,,,,
86672,1565272,it,79,0.9,Federico Balzaretti,https://it.wikipedia.org/wiki/Federico Balzaretti,,,,,,,,,,
100807,1607611,it,79,0.9,Età del consenso,https://it.wikipedia.org/wiki/Età del consenso,,,,,,,,,,
169298,1834803,it,79,0.9,Flavio Briatore,https://it.wikipedia.org/wiki/Flavio Briatore,,,,,,,,,,
342868,3843,it,79,0.9,Scienza,https://it.wikipedia.org/wiki/Scienza,,,,,,,,,,
354419,31675,it,79,0.9,Tavola periodica degli elementi,https://it.wikipedia.org/wiki/Tavola periodica degli elementi,,,,,,,,,,
360725,43987,it,79,0.9,Luigi Pirandello,https://it.wikipedia.org/wiki/Luigi Pirandello,,,,,,,,,,
364479,54299,it,79,0.9,DNA,https://it.wikipedia.org/wiki/DNA,,,,,,,,,,
365953,58236,it,79,0.9,Agnelli (famiglia),https://it.wikipedia.org/wiki/Agnelli (famiglia),,,,,,,,,,
481087,279881,it,79,0.9,Giuseppe Mazzini,https://it.wikipedia.org/wiki/Giuseppe Mazzini,,,,,,,,,,
486700,299155,it,79,0.9,Pier Luigi Bersani,https://it.wikipedia.org/wiki/Pier Luigi Bersani,,,,,,,,,,
587368,2774456,it,79,0.9,Targa UEFA,https://it.wikipedia.org/wiki/Targa UEFA,,,,,,,,,,
1042808,4557734,it,79,0.9,Meilogu,https://it.wikipedia.org/wiki/Meilogu,,,,,,,,,,
1316504,529475,it,79,0.9,Scrubs - Medici ai primi ferri,https://it.wikipedia.org/wiki/Scrubs - Medici ai primi ferri,,,,,,,,,,
1317417,532478,it,79,0.9,Papa Pio XI,https://it.wikipedia.org/wiki/Papa Pio XI,,,,,,,,,,
1321258,542907,it,79,0.9,Palmi,https://it.wikipedia.org/wiki/Palmi,,,,,,,,,,
1321478,543636,it,79,0.9,Glaciazione,https://it.wikipedia.org/wiki/Glaciazione,,,,,,,,,,
1436877,900252,it,79,0.9,Lecce nei Marsi,https://it.wikipedia.org/wiki/Lecce nei Marsi,,,,,,,,,,
1437641,903088,it,79,0.9,Azzurrina,https://it.wikipedia.org/wiki/Azzurrina,,,,,,,,,,
1444963,938904,it,79,0.9,Minato Namikaze,https://it.wikipedia.org/wiki/Minato Namikaze,,,,,,,,,,
1446498,959777,it,79,0.9,Limp Bizkit,https://it.wikipedia.org/wiki/Limp Bizkit,,,,,,,,,,
1452544,998649,it,79,0.9,Piceni,https://it.wikipedia.org/wiki/Piceni,,,,,,,,,,
1455982,1020130,it,79,0.9,Zazen,https://it.wikipedia.org/wiki/Zazen,,,,,,,,,,
1457968,1037623,it,79,0.9,Pubblico dominio,https://it.wikipedia.org/wiki/Pubblico dominio,,,,,,,,,,
1458173,1040456,it,79,0.9,Umberto Veronesi,https://it.wikipedia.org/wiki/Umberto Veronesi,,,,,,,,,,
1522941,1263728,it,79,0.9,Guerra del Pacifico (1941-1945),https://it.wikipedia.org/wiki/Guerra del Pacifico (1941-1945),,,,,,,,,,
1415162,828544,it,80,0.9,Ultras,https://it.wikipedia.org/wiki/Ultras,,,,,,,,,,
366070,58519,it,80,0.9,Bruce Lee,https://it.wikipedia.org/wiki/Bruce Lee,,,,,,,,,,
388757,116809,it,80,0.9,Massafra,https://it.wikipedia.org/wiki/Massafra,,,,,,,,,,
1339207,599622,it,80,0.9,Carlo Giovanardi,https://it.wikipedia.org/wiki/Carlo Giovanardi,,,,,,,,,,
225750,2030101,it,80,0.9,Dacia Valent,https://it.wikipedia.org/wiki/Dacia Valent,,,,,,,,,,
475732,262912,it,80,0.9,Guerra d'Iraq,https://it.wikipedia.org/wiki/Guerra d'Iraq,,,,,,,,,,
1314565,523482,it,80,0.9,Massimo Morsello,https://it.wikipedia.org/wiki/Massimo Morsello,,,,,,,,,,
603583,2840810,it,80,0.9,Cappella Sansevero,https://it.wikipedia.org/wiki/Cappella Sansevero,,,,,,,,,,
1451712,995565,it,80,0.9,Antonio Conte,https://it.wikipedia.org/wiki/Antonio Conte,,,,,,,,,,
461624,228041,it,80,0.9,Buddhismo Theravada,https://it.wikipedia.org/wiki/Buddhismo Theravada,,,,,,,,,,
387486,113842,it,80,0.9,Cosa nostra,https://it.wikipedia.org/wiki/Cosa nostra,,,,,,,,,,
1389482,770471,it,80,0.9,Beyoncé Knowles,https://it.wikipedia.org/wiki/Beyoncé Knowles,,,,,,,,,,
1479796,1129157,it,80,0.9,Minutes to Midnight,https://it.wikipedia.org/wiki/Minutes to Midnight,,,,,,,,,,
244765,2099830,it,80,0.9,Carlo Emanuele Buscaglia,https://it.wikipedia.org/wiki/Carlo Emanuele Buscaglia,,,,,,,,,,
1380681,739364,it,80,0.9,Merda,https://it.wikipedia.org/wiki/Merda,,,,,,,,,,
1361243,677874,it,80,0.9,MOSE,https://it.wikipedia.org/wiki/MOSE,,,,,,,,,,
1448757,973562,it,80,0.9,Supercoppa italiana,https://it.wikipedia.org/wiki/Supercoppa italiana,,,,,,,,,,
148443,1765733,it,80,0.9,Van Hohenheim,https://it.wikipedia.org/wiki/Van Hohenheim,,,,,,,,,,
146542,1759010,it,80,0.9,Battaglia di Torino (312),https://it.wikipedia.org/wiki/Battaglia di Torino (312),,,,,,,,,,
1515116,1244110,it,80,0.9,Michela Vittoria Brambilla,https://it.wikipedia.org/wiki/Michela Vittoria Brambilla,,,,,,,,,,
1448696,972638,it,80,0.9,Ronaldinho,https://it.wikipedia.org/wiki/Ronaldinho,,,,,,,,,,
