,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
230492,432298,sv,4,0.54,Torshälla,https://sv.wikipedia.org/wiki/Torshälla,,,,,,,,
369833,783172,sv,4,0.54,Industripoesi,https://sv.wikipedia.org/wiki/Industripoesi,,,,,,,,
208968,381499,sv,4,0.54,Elitserien i handboll för herrar,https://sv.wikipedia.org/wiki/Elitserien i handboll för herrar,,,,,,,,
397358,858395,sv,4,0.54,Acke & Gurra,https://sv.wikipedia.org/wiki/Acke & Gurra,,,,,,,,
2037396,4525578,sv,4,0.54,Icona Pop,https://sv.wikipedia.org/wiki/Icona Pop,,,,,,,,
658844,1663140,sv,4,0.54,Fluorid,https://sv.wikipedia.org/wiki/Fluorid,,,,,,,,
2193541,4957795,sv,4,0.54,"Brudslöjan, Norge","https://sv.wikipedia.org/wiki/Brudslöjan, Norge",,,,,,,,
169194,287819,sv,4,0.54,Tacken konungarnas Konung,https://sv.wikipedia.org/wiki/Tacken konungarnas Konung,,,,,,,,
217158,399272,sv,4,0.54,"Sörby, Örebro","https://sv.wikipedia.org/wiki/Sörby, Örebro",,,,,,,,
10774,12652,sv,4,0.54,Schaman,https://sv.wikipedia.org/wiki/Schaman,,,,,,,,
328423,670939,sv,4,0.54,Israelmuren,https://sv.wikipedia.org/wiki/Israelmuren,,,,,,,,
486798,1117488,sv,4,0.54,Asmara,https://sv.wikipedia.org/wiki/Asmara,,,,,,,,
639475,1626070,sv,4,0.54,Avstavning,https://sv.wikipedia.org/wiki/Avstavning,,,,,,,,
1835691,3905876,sv,4,0.54,Johan Axel Setterdahl,https://sv.wikipedia.org/wiki/Johan Axel Setterdahl,,,,,,,,
465524,1052177,sv,4,0.54,Ynglingasagan,https://sv.wikipedia.org/wiki/Ynglingasagan,,,,,,,,
58280,86420,sv,4,0.54,Musikaliska konstföreningen,https://sv.wikipedia.org/wiki/Musikaliska konstföreningen,,,,,,,,
415987,911525,sv,4,0.54,Säsonger av One Tree Hill,https://sv.wikipedia.org/wiki/Säsonger av One Tree Hill,,,,,,,,
1845929,3932466,sv,4,0.54,Yes! We Have No Bananas,https://sv.wikipedia.org/wiki/Yes! We Have No Bananas,,,,,,,,
240241,457415,sv,4,0.54,DNA-polymeras,https://sv.wikipedia.org/wiki/DNA-polymeras,,,,,,,,
114385,182178,sv,4,0.54,Lista över växter,https://sv.wikipedia.org/wiki/Lista över växter,,,,,,,,
478242,1089718,sv,4,0.54,Nils Rundgren,https://sv.wikipedia.org/wiki/Nils Rundgren,,,,,,,,
478805,1092019,sv,4,0.54,Assar (seriealbum),https://sv.wikipedia.org/wiki/Assar (seriealbum),,,,,,,,
64563,96864,sv,4,0.54,Blutfahne,https://sv.wikipedia.org/wiki/Blutfahne,,,,,,,,
336424,693758,sv,4,0.54,Antifon (filosof),https://sv.wikipedia.org/wiki/Antifon (filosof),,,,,,,,
597660,1550172,sv,4,0.54,Katarina Karlsdotter Vasa,https://sv.wikipedia.org/wiki/Katarina Karlsdotter Vasa,,,,,,,,
573655,1471490,sv,4,0.54,Slaget vid Öland (1676),https://sv.wikipedia.org/wiki/Slaget vid Öland (1676),,,,,,,,
408255,889681,sv,4,0.54,Mohammad Ali,https://sv.wikipedia.org/wiki/Mohammad Ali,,,,,,,,
1859276,3975653,sv,4,0.54,Åke Fridh,https://sv.wikipedia.org/wiki/Åke Fridh,,,,,,,,
157946,263961,sv,4,0.54,Gambeson,https://sv.wikipedia.org/wiki/Gambeson,,,,,,,,
387999,837174,sv,4,0.54,Green stamp,https://sv.wikipedia.org/wiki/Green stamp,,,,,,,,
340485,703685,sv,4,0.54,Super Mario Bros.,https://sv.wikipedia.org/wiki/Super Mario Bros.,,,,,,,,
456652,1028478,sv,4,0.54,Desirée Clary,https://sv.wikipedia.org/wiki/Desirée Clary,,,,,,,,
2188560,4915172,sv,4,0.54,Richard de Fournival,https://sv.wikipedia.org/wiki/Richard de Fournival,,,,,,,,
153445,255189,sv,4,0.54,Pinkerton,https://sv.wikipedia.org/wiki/Pinkerton,,,,,,,,
1733024,3658204,sv,4,0.54,Andra Långgatan,https://sv.wikipedia.org/wiki/Andra Långgatan,,,,,,,,
665683,1675535,sv,4,0.54,Discovery Family,https://sv.wikipedia.org/wiki/Discovery Family,,,,,,,,
310582,626197,sv,4,0.54,Toxin,https://sv.wikipedia.org/wiki/Toxin,,,,,,,,
651426,1650366,sv,4,0.54,Lisa Förare Winbladh,https://sv.wikipedia.org/wiki/Lisa Förare Winbladh,,,,,,,,
472091,1071535,sv,4,0.54,Dalénum,https://sv.wikipedia.org/wiki/Dalénum,,,,,,,,
235309,445007,sv,4,0.54,Havstulpaner,https://sv.wikipedia.org/wiki/Havstulpaner,,,,,,,,
493983,1138521,sv,4,0.54,Funatics,https://sv.wikipedia.org/wiki/Funatics,,,,,,,,
1843316,3924081,sv,4,0.54,Nils Heribert Nilsson,https://sv.wikipedia.org/wiki/Nils Heribert Nilsson,,,,,,,,
558302,1422225,sv,4,0.54,Nytorp skatepark,https://sv.wikipedia.org/wiki/Nytorp skatepark,,,,,,,,
1963705,4317886,sv,4,0.54,Serres modularitetsförmodan,https://sv.wikipedia.org/wiki/Serres modularitetsförmodan,,,,,,,,
254381,491264,sv,4,0.54,Toast Skagen,https://sv.wikipedia.org/wiki/Toast Skagen,,,,,,,,
166963,283195,sv,4,0.54,Dykning,https://sv.wikipedia.org/wiki/Dykning,,,,,,,,
309083,623176,sv,22,0.9,Jörgen Blom (politiker),https://sv.wikipedia.org/wiki/Jörgen Blom (politiker),,,,,,,,
146335,240772,sv,22,0.9,Georg Friedrich Händel,https://sv.wikipedia.org/wiki/Georg Friedrich Händel,,,,,,,,
650676,1648893,sv,22,0.9,Melodifestivalen 2013,https://sv.wikipedia.org/wiki/Melodifestivalen 2013,,,,,,,,
63364,94768,sv,22,0.9,Järnkorset,https://sv.wikipedia.org/wiki/Järnkorset,,,,,,,,
483927,1108707,sv,22,0.9,Finska kriget,https://sv.wikipedia.org/wiki/Finska kriget,,,,,,,,
123260,196282,sv,22,0.9,Optimal Telecom,https://sv.wikipedia.org/wiki/Optimal Telecom,,,,,,,,
138690,224631,sv,22,0.9,Herman Lindqvist,https://sv.wikipedia.org/wiki/Herman Lindqvist,,,,,,,,
101495,161025,sv,22,0.9,Kyrkoval i Svenska kyrkan,https://sv.wikipedia.org/wiki/Kyrkoval i Svenska kyrkan,,,,,,,,
81118,126725,sv,22,0.9,Povel Ramel,https://sv.wikipedia.org/wiki/Povel Ramel,,,,,,,,
131056,210121,sv,22,0.9,1948 års arabisk-israeliska krig,https://sv.wikipedia.org/wiki/1948 års arabisk-israeliska krig,,,,,,,,
