,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
249326,807484,fa,6,0.55,خلیج تایلند,https://fa.wikipedia.org/wiki/خلیج تایلند,,,,,,,,,
277674,843115,fa,6,0.55,ورزشگاه عضدی رشت,https://fa.wikipedia.org/wiki/ورزشگاه عضدی رشت,,,,,,,,,
336896,1076744,fa,6,0.55,سواره ایلخانی‌زاده,https://fa.wikipedia.org/wiki/سواره ایلخانی‌زاده,,,,,,,,,
296335,943841,fa,6,0.55,مقایسه نگرش فلسفی طب سنتی و طب جدید,https://fa.wikipedia.org/wiki/مقایسه نگرش فلسفی طب سنتی و طب جدید,,,,,,,,,
16928,48757,fa,6,0.55,میمند (فارس),https://fa.wikipedia.org/wiki/میمند (فارس),,,,,,,,,
131324,426300,fa,6,0.55,کمال الدین و تمام النعمه,https://fa.wikipedia.org/wiki/کمال الدین و تمام النعمه,,,,,,,,,
159936,513618,fa,6,0.55,تمساح,https://fa.wikipedia.org/wiki/تمساح,,,,,,,,,
138987,449866,fa,6,0.55,بازی ماجراجویی,https://fa.wikipedia.org/wiki/بازی ماجراجویی,,,,,,,,,
3487,9650,fa,6,0.55,فاریاب سنگویه,https://fa.wikipedia.org/wiki/فاریاب سنگویه,,,,,,,,,
100134,357592,fa,6,0.55,تویوتا,https://fa.wikipedia.org/wiki/تویوتا,,,,,,,,,
259056,820069,fa,6,0.55,مصطفی ملکیان,https://fa.wikipedia.org/wiki/مصطفی ملکیان,,,,,,,,,
508365,1834031,fa,6,0.55,آنتونیو ژوزه کونسیسائو اولیویرا,https://fa.wikipedia.org/wiki/آنتونیو ژوزه کونسیسائو اولیویرا,,,,,,,,,
285187,886539,fa,6,0.55,غلامحسین مصاحب,https://fa.wikipedia.org/wiki/غلامحسین مصاحب,,,,,,,,,
135390,438556,fa,6,0.55,آخرین هواشکن,https://fa.wikipedia.org/wiki/آخرین هواشکن,,,,,,,,,
