,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,Notes
48078,99688,ca,16,0.51,Monocot,https://ca.wikipedia.org/wiki/Monocot,,,,,,,,,
57111,116735,ca,16,0.51,Pierre Amine Gemayel,https://ca.wikipedia.org/wiki/Pierre Amine Gemayel,,,,,,,,,
65057,133191,ca,16,0.51,Bocs de can Rosés,https://ca.wikipedia.org/wiki/Bocs de can Rosés,,,,,,,,,
65369,133858,ca,16,0.51,Josep Lluís Núñez i Clemente,https://ca.wikipedia.org/wiki/Josep Lluís Núñez i Clemente,,,,,,,,,
67289,138842,ca,16,0.51,Cardedeu,https://ca.wikipedia.org/wiki/Cardedeu,,,,,,,,,
72626,151597,ca,16,0.51,Porc,https://ca.wikipedia.org/wiki/Porc,,,,,,,,,
74065,154128,ca,16,0.51,Carretera de la Rabassada,https://ca.wikipedia.org/wiki/Carretera de la Rabassada,,,,,,,,,
76750,159379,ca,16,0.51,Nacionalisme murcià,https://ca.wikipedia.org/wiki/Nacionalisme murcià,,,,,,,,,
78306,162204,ca,16,0.51,Foggy Dew,https://ca.wikipedia.org/wiki/Foggy Dew,,,,,,,,,
97675,197975,ca,16,0.51,Sant Tropetz,https://ca.wikipedia.org/wiki/Sant Tropetz,,,,,,,,,
104071,214066,ca,16,0.51,Independentisme,https://ca.wikipedia.org/wiki/Independentisme,,,,,,,,,
116623,249130,ca,16,0.51,Josep Puig i Cadafalch,https://ca.wikipedia.org/wiki/Josep Puig i Cadafalch,,,,,,,,,
127376,268762,ca,16,0.51,Oriol Vilapuig,https://ca.wikipedia.org/wiki/Oriol Vilapuig,,,,,,,,,
132849,281251,ca,16,0.51,Ferrocarrils de la Generalitat de Catalunya,https://ca.wikipedia.org/wiki/Ferrocarrils de la Generalitat de Catalunya,,,,,,,,,
135654,286715,ca,16,0.51,Peníscola,https://ca.wikipedia.org/wiki/Peníscola,,,,,,,,,
136418,288416,ca,16,0.51,Ovella,https://ca.wikipedia.org/wiki/Ovella,,,,,,,,,
138532,292524,ca,16,0.51,Catedral de Tarragona,https://ca.wikipedia.org/wiki/Catedral de Tarragona,,,,,,,,,
139628,294317,ca,16,0.51,Esquilada,https://ca.wikipedia.org/wiki/Esquilada,,,,,,,,,
139885,294715,ca,16,0.51,Paracerateri,https://ca.wikipedia.org/wiki/Paracerateri,,,,,,,,,
143402,301349,ca,16,0.51,Ghassan Kanafani,https://ca.wikipedia.org/wiki/Ghassan Kanafani,,,,,,,,,
144460,303715,ca,16,0.51,Tivissa,https://ca.wikipedia.org/wiki/Tivissa,,,,,,,,,
146416,308750,ca,16,0.51,Organismes ediacarians,https://ca.wikipedia.org/wiki/Organismes ediacarians,,,,,,,,,
160167,340571,ca,16,0.51,Vol 5022 de Spanair,https://ca.wikipedia.org/wiki/Vol 5022 de Spanair,,,,,,,,,
161581,343426,ca,16,0.51,Tapís de la Creació,https://ca.wikipedia.org/wiki/Tapís de la Creació,,,,,,,,,
162527,345351,ca,16,0.51,Capibara,https://ca.wikipedia.org/wiki/Capibara,,,,,,,,,
173622,372084,ca,16,0.51,Front Popular per a l'Alliberament de Palestina,https://ca.wikipedia.org/wiki/Front Popular per a l'Alliberament de Palestina,,,,,,,,,
190192,408550,ca,16,0.51,Protecció de dades personals,https://ca.wikipedia.org/wiki/Protecció de dades personals,,,,,,,,,
203621,438450,ca,16,0.51,Xamfrà (centre),https://ca.wikipedia.org/wiki/Xamfrà (centre),,,,,,,,,
203666,438570,ca,16,0.51,Miquel Palanca Fernández,https://ca.wikipedia.org/wiki/Miquel Palanca Fernández,,,,,,,,,
211513,455338,ca,16,0.51,Renaixença,https://ca.wikipedia.org/wiki/Renaixença,,,,,,,,,
212700,457616,ca,16,0.51,BrainStorm Productions,https://ca.wikipedia.org/wiki/BrainStorm Productions,,,,,,,,,
214209,460887,ca,16,0.51,Viquipèdia en espanyol,https://ca.wikipedia.org/wiki/Viquipèdia en espanyol,,,,,,,,,
215854,464560,ca,16,0.51,El Cid,https://ca.wikipedia.org/wiki/El Cid,,,,,,,,,
243682,521569,ca,16,0.51,Albert Roig i Deulofeu,https://ca.wikipedia.org/wiki/Albert Roig i Deulofeu,,,,,,,,,
