,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
28863,63233,cs,62,0.91,Starověký Řím,https://cs.wikipedia.org/wiki/Starověký Řím,,,,,,,,,
96500,241548,cs,62,0.91,Kraje v Česku,https://cs.wikipedia.org/wiki/Kraje v Česku,,,,,,,,,
139075,357445,cs,62,0.91,Seznam českých nositelů titulu monsignore,https://cs.wikipedia.org/wiki/Seznam českých nositelů titulu monsignore,,,,,,,,,
170167,450329,cs,62,0.91,Reiki,https://cs.wikipedia.org/wiki/Reiki,,,,,,,,,
274093,763796,cs,62,0.91,Evropská unie,https://cs.wikipedia.org/wiki/Evropská unie,,,,,,,,,
6888,12135,cs,63,0.91,Česká hymna,https://cs.wikipedia.org/wiki/Česká hymna,,,,,,,,,
12712,20769,cs,63,0.91,Izrael,https://cs.wikipedia.org/wiki/Izrael,,,,,,,,,
13365,22205,cs,63,0.91,Olomouc,https://cs.wikipedia.org/wiki/Olomouc,,,,,,,,,
46908,115169,cs,63,0.91,Dům knihy (Ostrava),https://cs.wikipedia.org/wiki/Dům knihy (Ostrava),,,,,,,,,
100909,253462,cs,63,0.91,Buquoyové,https://cs.wikipedia.org/wiki/Buquoyové,,,,,,,,,
108410,274076,cs,63,0.91,Lešon Kenaan,https://cs.wikipedia.org/wiki/Lešon Kenaan,,,,,,,,,
117269,297693,cs,63,0.91,Leoš Středa,https://cs.wikipedia.org/wiki/Leoš Středa,,,,,,,,,
17172,30962,cs,64,0.91,Polsko,https://cs.wikipedia.org/wiki/Polsko,,,,,,,,,
24861,49544,cs,64,0.91,Rumburk,https://cs.wikipedia.org/wiki/Rumburk,,,,,,,,,
140120,360438,cs,64,0.91,Obvinění z odebírání orgánů praktikujícím Fa-lun-kung v Číně,https://cs.wikipedia.org/wiki/Obvinění z odebírání orgánů praktikujícím Fa-lun-kung v Číně,,,,,,,,,
165985,438188,cs,64,0.91,"Kámen, nůžky, papír","https://cs.wikipedia.org/wiki/Kámen, nůžky, papír",,,,,,,,,
220849,598057,cs,64,0.91,Moravská národní obec,https://cs.wikipedia.org/wiki/Moravská národní obec,,,,,,,,,
232016,634406,cs,64,0.91,Muammar Kaddáfí,https://cs.wikipedia.org/wiki/Muammar Kaddáfí,,,,,,,,,
308806,865287,cs,64,0.91,Mořkov,https://cs.wikipedia.org/wiki/Mořkov,,,,,,,,,
41791,101607,cs,65,0.91,Chrám svaté Barbory,https://cs.wikipedia.org/wiki/Chrám svaté Barbory,,,,,,,,,
